InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
540373,21843,RED RETROSPOT CAKE STAND,2,06/01/2011 17:10,10.95,13280
540458,21217,RED RETROSPOT ROUND CAKE TINS,2,07/01/2011 12:28,9.95,12501
540947,85169D,PINK LOVE BIRD CANDLE,72,12/01/2011 12:43,1.06,15939
541253,84050,PINK HEART SHAPE EGG FRYING PAN,1,16/01/2011 13:51,1.65,17841
541262,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2,16/01/2011 15:50,2.1,18069
541587,47422,ASSORTED MONKEY SUCTION CUP HOOK,2,19/01/2011 14:39,0.42,17841
541883,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,24/01/2011 10:56,2.55,13408
543040,22629,SPACEBOY LUNCH BOX ,1,02/02/2011 17:06,1.95,17337
544193,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,17/02/2011 08:23,1.65,12431
544460,84199,GLOW IN DARK DOLPHINS,3,20/02/2011 14:01,0.21,16931
544645,22653,BUTTON BOX ,20,22/02/2011 11:58,1.95,16843
544667,85099B,JUMBO BAG RED RETROSPOT,100,22/02/2011 15:09,1.65,17511
544931,85175,CACTI T-LIGHT CANDLES,16,24/02/2011 18:59,0.42,13501
546862,21539,RED RETROSPOT BUTTER DISH,3,17/03/2011 15:34,4.95,16216
547050,20975,12 PENCILS SMALL TUBE RED RETROSPOT,10,20/03/2011 12:02,0.65,17795
547247,22052,VINTAGE CARAVAN GIFT WRAP,25,22/03/2011 09:01,0.42,18225
548038,85212,MINI PAINTED GARDEN DECORATION ,12,29/03/2011 12:03,0.85,15696
548708,22673,FRENCH GARDEN SIGN BLUE METAL,2,03/04/2011 12:41,1.25,13269
550154,22088,PAPER BUNTING COLOURED LACE,15,14/04/2011 14:45,2.95,13069
550251,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,15/04/2011 11:44,0.85,14323
550994,22897,OVEN MITT APPLES DESIGN,4,21/04/2011 19:55,1.45,14562
551276,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,4,27/04/2011 13:06,2.95,16016
552308,22699,ROSES REGENCY TEACUP AND SAUCER ,6,08/05/2011 15:21,2.95,17410
553385,15036,ASSORTED COLOURS SILK FAN,12,16/05/2011 15:53,0.83,16710
553476,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,17/05/2011 11:41,1.65,14221
553565,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,18/05/2011 09:01,1.25,17505
553657,20975,12 PENCILS SMALL TUBE RED RETROSPOT,1,18/05/2011 11:28,0.65,14583
554359,23168,CLASSIC CAFE SUGAR DISPENSER,12,24/05/2011 09:56,1.25,13590
554382,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3,24/05/2011 11:55,1.65,17365
554382,22556,PLASTERS IN TIN CIRCUS PARADE ,5,24/05/2011 11:55,1.65,17365
554650,23199,JUMBO BAG APPLES,10,25/05/2011 12:54,2.08,12681
555202,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,01/06/2011 12:11,0.42,16813
555486,84584,PINK GINGHAM CAT WITH SCARF,6,03/06/2011 13:05,2.55,13248
556107,22914,BLUE COAT RACK PARIS FASHION,1,08/06/2011 17:09,4.95,17360
556199,22962,JAM JAR WITH PINK LID,12,09/06/2011 12:40,0.85,16170
556432,22178,VICTORIAN GLASS HANGING T-LIGHT,24,10/06/2011 13:59,1.25,16184
557150,22511,RETROSPOT BABUSHKA DOORSTOP,1,17/06/2011 11:02,3.75,15555
557484,82583,HOT BATHS METAL SIGN,5,20/06/2011 14:36,2.1,14796
558461,20726,LUNCH BAG WOODLAND,2,29/06/2011 15:03,1.65,13263
558540,22061,LARGE CAKE STAND  HANGING STRAWBERY,2,30/06/2011 12:15,9.95,17706
558754,22556,PLASTERS IN TIN CIRCUS PARADE ,6,03/07/2011 12:10,1.65,15518
559424,35961,FOLKART ZINC HEART CHRISTMAS DEC,24,08/07/2011 12:14,0.85,18121
560273,22501,PICNIC BASKET WICKER LARGE,2,17/07/2011 14:59,9.95,14895
561710,23008,DOLLY GIRL BABY GIFT SET,1,29/07/2011 11:45,16.95,13827
561773,23204,CHARLOTTE BAG APPLES DESIGN,1,29/07/2011 12:41,0.85,17841
561914,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,01/08/2011 11:13,2.95,17676
561933,23165,LARGE CERAMIC TOP STORAGE JAR,12,01/08/2011 12:56,1.65,12949
562031,21874,GIN AND TONIC MUG,6,01/08/2011 17:37,1.25,16984
562131,20728,LUNCH BAG CARS BLUE,10,03/08/2011 09:30,1.65,18178
562540,22891,TEA FOR ONE POLKADOT,1,05/08/2011 15:38,4.25,17400
562768,48184,DOORMAT ENGLISH ROSE ,2,09/08/2011 10:49,7.95,14127
563213,22767,TRIPLE PHOTO FRAME CORNICE ,1,14/08/2011 12:55,9.95,16115
563756,22607,WOODEN ROUNDERS GARDEN SET ,2,19/08/2011 11:08,9.95,12418
563944,23201,JUMBO BAG ALPHABET,20,22/08/2011 10:08,2.08,17581
564309,23297,SET 40 HEART SHAPE PETIT FOUR CASES,16,24/08/2011 12:39,1.65,12471
565431,22386,JUMBO BAG PINK POLKADOT,2,04/09/2011 13:15,2.08,14965
565443,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,04/09/2011 14:22,2.95,12567
565541,84997B,CHILDRENS CUTLERY RETROSPOT RED ,3,05/09/2011 12:00,4.15,14159
565593,22662,LUNCH BAG DOLLY GIRL DESIGN,10,05/09/2011 14:07,1.65,17612
566040,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,24,08/09/2011 13:38,1.45,12540
566319,22966,GINGERBREAD MAN COOKIE CUTTER,24,12/09/2011 11:25,1.25,13431
566913,23096,PETIT TRAY CHIC,12,15/09/2011 14:07,1.65,17602
567721,22784,LANTERN CREAM GAZEBO ,12,22/09/2011 10:38,4.25,12409
568132,84988,SET OF 72 PINK HEART PAPER DOILIES,1,23/09/2011 16:22,1.45,15549
568531,21811,HANGING HEART WITH BELL,12,27/09/2011 13:49,0.39,16713
568912,22782,SET 3 WICKER STORAGE BASKETS ,1,29/09/2011 13:45,24.95,17528
569219,22600,CHRISTMAS RETROSPOT STAR WOOD,3,02/10/2011 13:01,0.85,13558
569360,22508,DOORSTOP RETROSPOT HEART,2,03/10/2011 14:59,3.75,14653
569383,23295,SET OF 12 MINI LOAF BAKING CASES,16,03/10/2011 16:46,0.83,15159
569401,23355,HOT WATER BOTTLE KEEP CALM,8,04/10/2011 08:56,4.95,15111
569555,20727,LUNCH BAG  BLACK SKULL.,10,05/10/2011 08:17,1.65,17728
569677,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,05/10/2011 14:14,7.95,15106
569687,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,05/10/2011 14:53,4.25,13709
569866,20984,12 PENCILS TALL TUBE POSY,2,06/10/2011 14:50,0.29,12757
570826,21621,VINTAGE UNION JACK BUNTING,1,12/10/2011 13:14,8.5,16753
571291,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,16/10/2011 15:44,1.25,13610
571408,23299,FOOD COVER WITH BEADS SET 2 ,1,17/10/2011 12:22,3.75,15012
571439,23518,EMBROIDERED RIBBON REEL RACHEL ,12,17/10/2011 13:25,2.89,17206
571441,84596G,SMALL CHOCOLATES PINK BOWL,3,17/10/2011 13:31,0.83,14096
572242,23311,VINTAGE CHRISTMAS STOCKING ,12,21/10/2011 15:36,2.55,15677
572322,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,24/10/2011 09:34,1.45,13138
572913,22093,MOTORING TISSUE BOX,3,26/10/2011 16:21,0.39,15993
575366,23551,PACK OF 12 PAISLEY PARK TISSUES ,24,09/11/2011 15:02,0.39,14621
575369,23265,SET OF 3 WOODEN TREE DECORATIONS,12,09/11/2011 15:09,1.25,16655
575706,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,10/11/2011 17:13,6.95,14713
575868,22973,CHILDREN'S CIRCUS PARADE MUG,12,11/11/2011 12:44,1.65,12985
575904,23390,DOLLY GIRL MINI BACKPACK,1,11/11/2011 15:28,4.15,18014
575975,22030,SWALLOWS GREETING CARD,12,13/11/2011 13:18,0.42,13536
576228,22306,SILVER MUG BONE CHINA TREE OF LIFE,6,14/11/2011 13:12,1.06,15033
577506,47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,12,20/11/2011 12:40,0.42,13212
579255,23483,HANGING  BUTTERFLY T-LIGHT HOLDER,18,28/11/2011 17:09,1.25,14901
579270,22338,STAR DECORATION PAINTED ZINC ,96,29/11/2011 09:50,0.19,15783
579468,23355,HOT WATER BOTTLE KEEP CALM,1,29/11/2011 14:58,4.95,14711
580160,85099F,JUMBO BAG STRAWBERRY,10,02/12/2011 10:47,2.08,12700
580304,23319,BOX OF 6 MINI 50'S CRACKERS,4,02/12/2011 14:25,2.49,18055
580395,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,36,04/12/2011 10:56,0.79,17629
580403,22767,TRIPLE PHOTO FRAME CORNICE ,2,04/12/2011 11:56,9.95,17858
580727,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,05/12/2011 17:17,7.46,14096
580937,22723,SET OF 6 HERB TINS SKETCHBOOK,12,06/12/2011 14:13,1.25,16143
581412,23212,HEART WREATH DECORATION WITH BELL,36,08/12/2011 14:38,1.25,14415
